tickTPDistance,fixedSLDistance,netProfit,profitFactor,maxDrawdown,totalTrades
20,"+4,025.00",—,300.00,7
25,"+3,050.00",16.25,300.00,6
30,"+3,250.00",17.25,300.00,6
20,100,"+4,025.00",—,300.00,7
20,125,"+4,025.00",—,300.00,7
20,150,"+4,025.00",—,300.00,7
20,175,"+4,025.00",—,300.00,7
20,200,"+4,025.00",—,300.00,7
20,225,"+4,025.00",—,300.00,7
20,250,"+4,025.00",—,300.00,7
20,275,"+4,025.00",—,300.00,7
20,300,"+4,025.00",—,300.00,7
25,100,"+3,050.00",16.25,300.00,6
25,125,"+3,050.00",16.25,300.00,6
25,150,"+3,050.00",16.25,300.00,6
25,175,"+3,050.00",16.25,300.00,6
25,200,"+3,050.00",16.25,300.00,6
25,225,"+3,050.00",16.25,300.00,6
25,250,"+3,050.00",16.25,300.00,6
25,275,"+3,050.00",16.25,300.00,6
25,300,"+3,050.00",16.25,300.00,6
30,100,"+3,250.00",17.25,300.00,6
20,100,"+4,025.00",—,300.00,7
20,125,"+4,025.00",—,300.00,7
20,100,"+12,625.00",9.86,"4,100.00",37
20,125,"+12,625.00",9.86,"4,100.00",37
20,100,"+11,975.00",5.696,"2,550.00",32
