tickTPDistance,stopLossMode,fixedSLDistanceTicks,netProfit,maxDrawdown,totalTrades,profitableTrades,profitFactor
30,Trailing SL,100,"+11,150.00","2,550.00",31,87.10%,4.845
30,Trailing SL,120,"+10,650.00","3,050.00",31,87.10%,4.132
30,Trailing SL,140,"+10,150.00","3,550.00",31,87.10%,3.603
30,Trailing SL,160,"+9,650.00","4,050.00",31,87.10%,3.193
30,Trailing SL,180,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,200,"+11,225.00","4,100.00",35,80.00%,4.207
30,Fixed Tick SL,100,"+12,075.00","2,550.00",29,93.10%,5.735
30,Fixed Tick SL,120,"+11,575.00","3,050.00",29,93.10%,4.795
30,Fixed Tick SL,140,"+11,075.00","3,550.00",29,93.10%,4.12
30,Fixed Tick SL,160,"+10,575.00","4,050.00",29,93.10%,3.611
30,Fixed Tick SL,180,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,200,"+15,450.00","4,100.00",32,90.63%,21.6
